description,points
"This is a young, soft and fruity wine, with ripe black fruits that are lightly textured by the dry, spicy core. With some wood aging, the wine has a toasty accent and a smooth character that makes it ready to drink now.",86
"The blend on this complex red wine is mainly Cabernet Sauvignon, with some Petit Verdot and what the winery calls “other reds.” It's the most interesting of Geyser Peak's 2011s, showing ripe, forward black cherry and red currant fruit, but also notes of dried herbs, minerals, bacon, black pepper, licorice and espresso. While it's not an ager, it grows more interesting as it breathes in the glass.",91
"The blend is Grenache Blanc, Roussanne and Picpoul Blanc, grown at a high altitude on Paso Robles's west side. The wine is dense and concentrated in apricots, oranges and mangoes, balanced with acidity and sweet oak. With a dry finish, it's a complex wine to drink now.",90
"Enticing aromas of citrus, spring blossom and white stone fruit set the tone on this elegant sparkler. Bright and polished, the silky palate offers Bartlett pear and green apple alongside vibrant acidity and a silky perlage.",91
"Whiffs of crushed slate and smoke add earthy complexity to sweet yellow-peach and pink-grapefruit flavors in this delicate but composed Auslese. Intensely minerally on the palate, it finishes with a fresh, green, floral flair and piercing citrus acidity.",91
"Stephan von Neipperg of Château Canon la Gaffelière was an early proponent of Castillon vineyard potential and chose this property which is on the same ridge as Saint-Emilion. Fruity and ripe, this is a generous wine. Finely structured tannins back up the black-currant fruits and give the wine a texture that bodes well for the future. Drink from 2019.",91
"The wine made good use of wood, giving mint flavors while not overtaking the black-currant fruitiness. Structured behind the fruit, it is balanced with an attractive burst of acidity at the end. Drink from 2018.",88
"A wonderful Sauvignon Blanc, bone dry and tartly crisp, with mouthwatering flavors of lemons, limes, grapefruits, minerals, vanilla and peppery spices. Entirely unoaked, it's a fine cocktail sipper, and great with savory little appetizers.",88
"Aromas of pear and anise pace the nose of this medium-bodied wine. It's a simple, fruit-cocktail-like sipper, with a quick, easy finish and a reasonable price tag. Drink now.",85
"There's a very cooked quality to this bottling, with aromas of kirsch, stewed cherry, grape juice, coffee and strong violets. Somewhat sweeter flavors of strawberry, plum and cocoa dust show on the sip, held up by decent acidity.",86
"Simple and linear, this has a mixed berry aroma, with notes of licorice, leather and dried tobacco. It's plush, fresh and shows power on the finish.",87
Simaens has produced a ripe style of wine here. Apple and rich citrus flavors add a delicious touch to tropical fruit flavors. This wine is fit for drinking in the next few months.,87
"Dark strawberry mixes with allspice, incense and a touch of smoke on this wine's nose. Purple-flower flavors of lavender and violet mix with black raspberry, dried sage, ginger and black tea, all wrapped up in tart plum-peel tension.",90
"This 100% varietal wine hails from a site east of Cloverdale, in a warm pocket reaching up to 1,030-feet in elevation. It offers a full-bodied concentration of black cherry, raspberry and clove flavor, with a smooth texture and mild, toasty oak. Chocolate mocha marks the finish.",91
"This wine boasts a creamy palate, with aromas of fresh and baked apples that transition to flavors of apple crumble laced with citrus zest. Concentration, precision and lively acidity mean that this will pair well with many fatty foods. It's glorious now, but its acidity means that you can expect pleasant development over the next five years.",94
"Wild flower, dried jasmine, wild berry, hazelnut and ginger open the beautifully fragrant bouquet. The mouthfeel is tight, elegant and silky with polished tannins and fresh menthol overtones. Give this wine 10 more years.",92
"Slight hint of sulfur at first, but it blows off and the nose opens to reveal a rich medley of ripe orchard fruit tinged with dried tarragon and savory spice. Crisp, bright and laden with a patchwork of flavors: ripe apples, pears and stone fruit against a backdrop of earthy minerality. Broad yet only medium bodied, with a moderately long finish.",90
"Oregon is loaded with inexpensive Pinot Noirs these days, but very few are estate grown and carry the Willamette Valley AVA. Pretty and aromatic with engaging scents of cherries and cream, this has immediate appeal. Drink with pork, poultry, salmon and salads—this is your go-to, anytime bottle.",90
"Massively fruity and oaky, this is an atom bomb of a Chardonnay. You either love this style or you hate it. The pineapple tart, apricot, pear, peach, crème brûlée, buttered toast, vanilla cream and cinnamon spice flavors go on and on. Beyond the utter richness is firm acidity and a bracing minerality. Defines California-style decadence, but drink now, as the wine will quickly go downhill.",95
"This old-vines wine is really clean and light on the nose, with aromas of red apple, fresh-cut white sapote and blanched almonds. The laser-focused palate is dominated by a refreshing texture, like sipping an ice-cold martini or licking a steel knife, with sea salt and lemon peel flavors most prevalent.",92
"A blend of four varieties, this is a full-bodied, plush-textured wine with easy-to-like fruit and spice flavors and a lingering finish.",87
"Stiff tannins are matched to sharp raspberry and boysenberry fruit, crafting a well-defined, young and potent wine. This may benefit from another year or two in bottle, but it's already a tasty, albeit tight wine with a mix of fresh fruit and astringent, herb and cracker flavors.",87
"Santo is a creamy Moscato d'Asti with ripe fruit aromas of yellow rose, honey and apricot. The wine shows a thick, bold style ,with an off-gold color and plenty of sweetness on the sticky finish.",85
"This is a wine that's full of blackberry flavor, with elegant fruitiness and sweet tannins. It may miss the firm structure of the vintage, but it makes up for that with its forward, ripe fruitiness.",91
"Blue fruit and high acidity open this delightful Pinot Noir, from a cool section of the Russian River Valley overlapping Green Valley. The oak imprint is low, yet the wine offers firm structure and elegance, remaining subdued and fresh on the palate in swirls of dark cherry, boysenberry and earthy leather.",90
"Surprisingly rich and complex for this price and the statewide appellation, a full-bodied wine with glorious flavors of blackcurrants. Coats the mouth and lasts through a long finish. The tannins are soft and intricate and add to the enjoyment.",90
"This tremendous wine is 100% Pinot Grigio, of which 50% was aged in new wood. It is rich and full-bodied, with complex layers of vanilla. It comes from low-yielding, old vines. Only 8,000 bottles were produced.",91
"The intriguing golden-pink color looks like sun shining through a rose petal, and the aromas of honey, buttered popcorn and pecan pie are just as appealing. Once sipped, the flavors of poached salmon somehow show. These continue into a long finish, although the acidity soon wipes the slate clean like a good rosé should. This is one of many wines made by ninth-generation Santa Maria Valleyite James Ontiveros.",92
"The scent of fresh Bosc pear peel also conveys a sense of texture. This is confirmed on the rounded, juicy and full-fruited palate that balances the generous ripe pear with ample, off-dry freshness. Drink soon for maximum enjoyment of fruit.",90
"This wine's grapefruit and lemon flavors are lean, showing too much tartness and heat.",83
"The equivalent of an alternative second wine from Château Pichon Baron (with Les Tourelles), Les Griffons is named after the statues of griffins that are in the chateau's courtyard. This is a structured wine, firmly tannic while already showing plenty of black currant fruitiness. Equal measures of Merlot and Cabernet balance the wine and give depth of flavor. It will develop soon and will be drinkable from 2017.",91
"Part of the same family business as Philippe Girard's wines (Benoît is his brother), this is a ripe, pure and clean wine. Perfumed acidity and zesty flavors are integrated into the rich green fruit. Apples and green plums dominate this refreshing wine that will develop. Drink from 2017.",90
"This is the winery's best new Pinot Noir. Essentially a barrel selection, using different clones from multiple sites in the estate vineyard, it's spicy and dry, with complex flavors of raspberry and cherry tart, Dr. Pepper, spice, sandalwood and anise, as well as a hint of mushroomy funk. Enjoy now–2015.",92
"A beautifully drinkable rosé sparkling wine for opening now. It's soft and honeyed, with fine bubbles framing slightly sweet flavors of raspberries, cherries, brioche, vanilla and toast.",88
"The wine still tastes young, with ripe yellow fruits and bright acidity. Chardonnay dominates the blend, allowing hints of minerality to come through the lime and lemon crispness. Still developing its more toasty character, it will be better from 2017.",91
"Struck flint and tomato leaf notes add welcome complexity to this wine's grapefruit aromas and flavors. For a wild-ferment Sauvignon Blanc, it's reasonably clean, with moderate body and a long, dry finish.",90
"With fruit harvested from the beautiful Brunate cru located just a short distance away from the Barolo castle, this wine from Marcarini will delight you. The aromas here are full, generous and recall wild berry, cedar, smoke, licorice and cherry cola. Tight, firm tannins and bright acidity make the wine both cellar worthy and food friendly.",93
"Made in a full-bodied style with a density of firm tannins, this wine offers a mix of ripe black cherry and black licorice notes, the core succulent and strong.",90
"Luscious stone-fruit notes on the nose suggest ripeness and opulence. The palate speaks with that same generous fruit but holds a tight fresh grip that unites mirabelle, crisp green apple, bright citrus and yeasty richness. This is a beautifully balanced expressive wine with fine creamy fizz that is lovely now but will also reward laying down. The finish is long and deliciously dry and fresh. Drink 2017–2022.",92
"Aged nine months in 20% new French oak, this enjoyable offering brings notes of cedar, cranberry and cola. True to the vintage, the flavors are richer in style while still retaining acidity with firm, tightly coiled tannins and a mesquite filled finish. Drinking young right now, hide this one away in the cellar for a while.",88
"Made to appeal to the modern taste for sweetness, this blend of Sauvignon Blanc, Chardonnay and Viognier is simple in jammy apricot, citrus and tropical fruit flavors. It has bright acidity, which helps balance it.",84
"From the Treviso area of the Veneto, this fragrant and floral Moscato sparkling wine offers sweet and chewy tones of peach syrup and ripe fruit.",83
"Grapes from this tiny AVA frequently deliver that something extra that catapults Pinot into a higher dimension. Here, solid cherry and berry tones bear almost indefinable traces of iron, mineral and sweet hay. Delicious already, this should continue to improve through 2020.",94
"Fat aromas of black cherry, cassis, caramel, oak and vanilla quickly pull the nose into this blend of 70% Cabernet Sauvignon, 23% Merlot and 7% Petite Sirah. The exuberance is dialed back on the sip, where tart black-plum skin, roast beef and pepper spice flavors abound.",91
"Smooth beyond its youthful age, this is sparked to life with peppery highlights dappling a pretty, cherry-candy fruit core. Lighter accents of cola and cocoa follow up through a medium-long finish.",89
"Ripe and forward in blackberry and cherry jam, this Sangiovese-based blend (with Cabernet Sauvignon and Merlot) is a simple wine to drink with burgers.",83
"With fruit drawn from all over Burgundy, this is a light, bright and refreshing wine. It has light acidity, spice and apple flavors and a bright, tight aftertaste. Drink now.",85
"Full in the mouth, this is a ripe, currant- and gooseberry-flavored wine. It has a bright, forward, fruity feel that makes it delicious to drink. Very refreshing in character. Screwcap.",86
"Newsome-Harlow's Shake Ridge is true to its famous Foothills vineyard source year after year and 2009 is no exception. The wine is a little muted at first, gamey even, with looming, site-specific, tarry structure. Give it a rest and it should open up in beautiful ways, its big, blueberry bones impeccably tamed.",91
"A fabulously rich and approachable Pinot Noir that offers everything now, yet will also age. The considerable tannins will protect it in the cellar for a good 6–8 years, but it's so fresh and vibrant in cherries, red currants and oak-inspired red licorice that it's hard not to drink it now. Hard to exaggerate the deliciousness factor.",95
"Notions of ripe lemon and mandarin zest play upon nose and palate of this admirably dry Riesling, which has enough concentration to carry the riot of citrus perfectly. This refreshing, clean and bracing wine could be your rescue on a hot summer day.",90
"This wine presents itself initially as having a bold, big body, yet is actually light on its feet as it opens, revealing aromas of cherry liqueur, rhubarb joined with a funk of black licorice and sassafras.",88
"A rare Petit Verdot from Washington, very dark and smoky, with earth, herb, a smooth palate, and ripe tannins. This is more terroir-driven than varietally “correct” – a bit of green tea flavor comes in with the tannins, but overall everything is nicely managed.",89
"Steely and mineral in character, this is a taut, nervy wine. It has great acidity and balance, with green fruit and sliced apple flavors. Keep for 3–4 years. Screwcap.",93
"Compared to the winery's crisp and light 2014 bottling, this oxidative, skin contact-driven style, which is golden in color, is a bit weird at first, but immediately easy to enjoy. Candied orange rinds pop off the nose, and rich dried-apple flavors show on the palate along with orange syrup, almond oil and honey. But it stays lively and fresh, making for an intriguing sip.",90
"This is a rich wine, soft and juicy. Superripe—perhaps overripe—fruit gives a jammy character to the wine. The core woody flavor from aging in French and American oak is prominent and needs to round out. Drink from 2017.",86
"Rich and ripe with cherry, pomegranate, persimmon and spice flavors, with a nice, silky texture and fine tannins. The acidity is sharp, the alcohol refreshingly moderate. Could benefit from some time in the cellar.",87
"Crisp and fresh, this is a light wine that is dominated by red-currant fruits. It has considerable acidity as well as tannins. Fruity while lightly perfumed, it will be ready from 2018.",88
"The black-cherry fruit on the nose of this wine is a little sour, lifted by coffee grinds and incense. The tip of the sip is ripe with blueberry, then hardens around stiff tannins and zingy acidity, finishing on smoke and crushed herbs.",85
"Corte Lenguin's Amarone is less intense aromatically and laid-back in general with measured aromas of ripe fruit, resin, tar and mesquite. It offers more in the mouth however, in terms of density and taste, with a broad texture and bright cherry flavors.",87
"Opulent and very minerally, this is deeply flavored and concentrated, with a lively, crisp edge. It's fruity while also having a textured finish that shows a structured, age-worthy side.",92
"Combined with 20% Grenache, this full-bodied, fruit-forward wine brings sweet aromas and flavors of raspberry jam and plum. Aged in mostly neutral oak, it possesses purity that carries through the finish.",90
"Tart raspberry acidity casts an electric vibe onto ripe blackberry and cherry flavors in this wine. It's vivaciously fruity and lushly textured yet firmly structured, held upright by fine-grained, penetrating tannins. The finish is brisk and clean.",89
"Toasted sourdough bread and briny lemon show on the nose and palate, with dusty oak and slightly burnt toast on the finish.",83
"This is a cool wine, with acidity and citrus fruits well in evidence. It comes from one of the higher premier-cru vineyards, giving a crisp and textured wine even in this warm vintage. It needs time. Drink from 2020.",93
"Pronounced aromas of citrus and yellow stone fruit take center stage. The palate offers nectarine zest, unripe apricot and a hint of chopped herb alongside crisp acidity.",87
"The Four Boys bottling has been particularly successful for Steve Pessagno, and this big, voluptuous 2010 is his best since 2006. Dry and full bodied, it has rich flavors of red and dark berries, currants, Dr. Pepper and cinnamon, with hints of dark chocolate and red licorice. It's quite tannic, and obviously needs to age. Best after 2018.",94
"Smells overripe, with a sharp, raisiny smell, and tastes hot, harsh and medicinal. It has cough drop cherry flavors that are sugary-sweet and acidic.",82
"Lightly floral and quite Burgundian aromatically, this wine exudes a mixture of caramel and earth amid a full-bodied texture and racy acidity.",87
"The bouquet is a bit flat at first, offering nothing more than white stone fruits and pear. Green melon is amplified by a dose of white pepper on the palate, while the finish is layered and solid; it's the best part of the wine by far.",87
"Delicate and elegant wine, with smoky fruit, ripe but freshened with a tight layer of acidity. It has delicious black currant juice flavors, but the texture remains light and the tannins soft.",90
"This blend of Cabernet Sauvignon, Syrah and Merlot starts off a bit murky and brooding but then displays raspberry and plum fruit, and some big-time heft. A tad oaky and simple, but with grilled meats it should more than do the trick. If you like 'em big and a touch funky, get tattooed.",87
"Aromas suggesting rose water, leather, woodland berry, forest floor, cake spice and a balsamic note lead the way. The taut palate offers juicy black cherry, tart cranberry, baking spice and chopped herb alongside firm, polished tannins. A note of star anise closes the finish. Drink from 2018 through 2023.",90
"A rough, common Pinot Noir. It's all right for drinking now, with pleasant cherry, berry, cola and cedar flavors that have an edge of overripe raisins.",84
"Aromas are high toned and barrel-forward, with notes of vanilla, green wood and cocoa. The fruit is able to break through on the palate that shows a pleasing sense of balance.",88
"Riper aspects of Mirabelle plum join the aromatic spectrum dominated by bracing citrus zest. Grapefruit and lemon echo along the palate and surpass themselves in a tight, bracing and concentrated finish. Slender but ultratoned.",92
"The nose is slightly feral, bearing fragrances of brambly boysenberry and wild blueberry. There is a nice play between fruit and savory notes, with flavors of raspberry, strawberry, smoked meat and summer farm stand. Mellow tannins offer an ample preface to a citrus-zest finish amped up by a touch of salted caramel.",90
"This inexpensive Chardonnay has a fair amount of oaky depth to it, unexpectedly since only 5% of it was aged in American oak, the rest in stainless steel. Nonetheless it has toasty vanilla flavors and aromas of lime, apple and cantaloupe and tastes refreshing and clean.",87
"This elegant expression of the Nerello Mascalese grape grown on the slopes of Mount Etna has a lovely fragrance of blue flower, berry and spice. The polished palate offers flavors of wild cherry, crushed strawberry, mint, cinnamon and vanilla alongside fresh acidity. Energizing mineral signals the close.",91
"Outstanding concentration rides an impressive structure in this huge but well-balanced wine. Freshly picked blackberries and raspberries meet hints of chocolate, baking spices and black pepper while vivid tannins and firm acidity lift up all those flavors and carry them to a lingering finish. Compelling to drink now, it's also built to age well. Best after 2020.",93
"With 18 months in French oak and another 18 months in bottle before release, this is a developed and complex wine with serious cassis and blackberry flavors accented by notes of menthol, tea leaves, cocoa nibs and black currant leaf. Structured and firm with velvety tannins and a long finish, this will continue to develop if cellared.",87
"Rich and ripe, this has a plushness of red currant and cassis counterbalanced by blackberry on the underbelly. A well-hewn texture leans leathery, with seasonings of black pepper giving it a piquant and lengthy finish.",91
"This wine has a good balance between spice and ripe yellow and apple fruits. The taut, mineral texture will allow it to age well. Touches of toast support the rich fruits. Drink from late 2017.",89
"A bright, creamy wine with light acidity and flavors of green fruits, pears and a strong streak of grapefruit.",84
"This blend of 36.5% Syrah, 32% Mourvèdre and 31.5% Grenache (the Syrah and Grenache were co-fermented) produces aromas of tart berry, tar, anise and a touch of raw lamb on the nose. The palate is strongly driven by a pencil-lead quality and framed by a nicely rising acidity, offering tart cranberry fruit.",89
Aromatic red berries signal tart pleasure: redcurrant and raspberry. The very easy and smooth body fully plays into that with light-bodied charm. Drink while the aromas still sing.,88
"Here's a simple wine that tastes like a supermarket fruit juice blend of peaches, mangoes and apricots. It's soft and one-dimensional and slightly sweet in the finish.",82
"Vintner Elisabetta Geppetti's Saffredi is part cult wine and part mainstream blockbuster in that the wine enjoys worldwide fame, but few know it well. This vintage is soft and luscious, with loads of dark chocolate, cherry, blackberry, tobacco and spice. It's gorgeous down to the last delicious drop.",94
"Powered by tannins and dense blackberry fruit, this is a rich, perfumed wine. It has structure and a solid texture that's cut with acidity, feeling stylish and built to age further. Drink from 2019.",90
"The wine is full of stalky black currant fruits and fresh acidity. A blend of Bordeaux-style grapes with Syrah, it is made to be drunk young and slightly chilled for the summer. Drink now.",84
"Dry, lush and soft, with richly extracted black currant, beef jerky, sweet milk chocolate and anise flavors that go on and on. Has a prickly, peppery feeling that's a little hot.",86
"This Brunello shows aromas of leather and cured meat without much fresh fruit to hold it up. The structure and acidity is there, along with tertiary aromas of crushed mineral, asphalt, candied fruit and dried sage.",89
"Grown on flinty soil, this strongly mineral-driven wine is structured, tense with acidity and white stone-fruit flavors. The initial crispness opens out into a concentrated, textured wine that will need to age further. Drink from late 2017.",91
"Showing breeding and class, this opens with aromas of tropical fruit, white peach and citrus that all carry over to the palate. The creamy texture and juicy fruit are balanced by crisp acidity.",91
"An ambitious blend of Merlot, Tempranillo, Malbec and Cabernet Sauvignon, grown mainly on Atlas Peak. It's bone dry and locked down in tannins and acidity, offering little relief, but there's a potent core of blackberries and black currants that yearns to bust through. Clearly well grown, it could be an ager, but predictions are risky.",92
"Edgy slightly sharp aromas of herbal berry fruits, olive and eucalyptus set up a tight rough palate. Big-time herbal flavors are oaky and taste of leafy black fruits and olive. This powerful Cab Franc finishes with woody notes of mint along with herbal berry and leftover eucalyptus nut flavors.",88
This wine is a shining example of the glorious minerality that singles out Mosel Riesling. The nose shows really appealing pear and gardenia scents overlaying wet stone notes. The mouthwatering acidity wakes up your palate and is in perfect balance with the substantial residual sugar. Drink now (with sushi) or hold five or more years for even more complexity.,91
"This over-the-top wine has an unusually deep color and a potent, charred-wood aroma, followed by sweet-seeming oak and dried-fruit flavors. It's medium bodied and a touch tannic in texture.",84
"This is a full-bodied, well structured Cabernet, with plenty of intense cassis fruit tinged with minty, herbal overtones that give it a slightly medicinal cast. Give it 2-3 years to develop additional complexity, then drink it over the next 7-8 years.",88
"Complex and compelling in dark plum and dusty dark chocolate, this Cabernet has under 3% Petit Verdot and under 3% Cabernet Franc blended in, providing the wine with elegance and concentration. Soft on the palate, it suggests vanilla oak with subtlety, bringing all the components together on the lingering finish.",93
Sorelle Bronca is a boutique producer that makes some of the finest Prosecco available today. This sparkling Brut expression shows finesse and focus with lively aromas of white flower and smooth peach.,88
"Picolit is a rare and precious dessert wine that shows aromas of candied fruit, pressed flower and honey. This expression has a touch of bitter almond on the finish.",88
"Los Gatos-based Testarossa is building a powerful reputation as a single-vineyard specialist, but this more accessibly priced cuvée from Monterey County rivals their best efforts. There is nuttiness, brioche and slightly sour orange on the nose, followed by a very soft mouthfeel, with flavors of pound cake, vanilla cookie, peach cobbler and candied grapefruit.",92
"Garnet in the glass, this Hungarian Syrah has aromas of black plum, black raspberry, and black cherry and flavors of black plum, cherry and a whiff of menthol. The finish is bright and fruit filled.",89
"This pure Merlot coats the mouth with opulent berry and cherry fruit and silky tannins. Crafted from Ciel du Cheval, Conner Lee and Stonetree vineyard grapes, the poise, balance, integration and persistence are outstanding, as is the value.",92
"Still quite young, this 100% Cabernet Franc shows great promise with more cellar aging. It's respectful of what that grape can do, with smoky overtones amid layers of green olive, cedar and pepper. The finish has a bite of minty cocoa.",88
"A selection from the many parcels owned by the producer, this wine comes from the north slopes of the Montagne de Reims. It is a delicious, balanced wine that is 50-50 Chardonnay and Pinot Noir, rich and full in the mouth with perfumed acidity and a generous texture. The wine is ready to drink.",92
"Very mature and soft in structure, this is a wine that needs to be drunk now. It has some richness, a dry edge and some attractive acidity, but it is not a wine that will improve.",85
"This vintage of the hearty proprietary blend of 83% Cabernet Sauvignon, 12% Petit Verdot and 5% Cabernet Franc highlights the best of the harvest. It's dense with mouth-coating red fruit and a touch of sweetness from oak. As it unwinds, more developed graphite, black olive and dried herb accents come to life. Enjoy 2023–2030.",93
"A very agreeable, satisfying blend of ripe fruit and firm texture makes this full-bodied wine a winner. It has enough concentration to drench the palate with blackberries and linger on the finish with cinnamon accents.",90
"Briny pickled aromas are just clean enough to pass muster. This simple Viura is lemony and tangy on the palate, with saline-influenced flavors of citrus fruits and bell pepper. On a snappy finish, a briny flavor leads the way.",84
